ID,name,data_collection,publication_date,objective,nb_instances,features,nb_features,data_link,availability,subject_area,data_source,data_representativeness,sample_balance,divided,missing_values,temporal_factors,nb_citations,citation_link,task,metadata,documentation,learning_indicators,informed_consent,transparency,user_control,equity_non_discrimination,security,dealing_faulty_data,anonymization,keeping_record,minimal_data_collection,data_lifecycle_management,,
27,SD21,,2023,"Understandings of the theory and practice of CS in the higher education context in Malaysia
",183,"1.Demographic data, 
2.grades",18,"https://data.mendeley.com/datasets/54hr8zjx8r/2
",Public,"Education, Sociolinguistics Variation, Bilingualism
","Questionnaire
Classroom observations",semi-structured,False,False,False,False,1,"https://www.sciencedirect.com/science/article/pii/S2352340922009131?via%3Dihub
",,False,True,2.Performance,True,False,False,True,False,False,True,False,False,False,,
28,SD22,,2023,"Student perceptions and experiences of quality assurance in Vietnamese universities
",1323,1.Demographic data,64,"https://data.mendeley.com/datasets/k4cbg4fz6t/2
",Public,Education,Questionnaire,Structured,False,False,False,False,0,"https://www.sciencedirect.com/science/article/pii/S2352340923004249

",,False,True,,False,False,False,False,False,False,True,False,False,False,,
29,SD23,2019-2021,2023,s,4765,"1.Grades
2.Access nulmber, access time, doc access number and time, video and audio time
3.Messages (reply, post, chat)",32,https://data.mendeley.com/datasets/z62gdty498/1,Public,Education,"The educational web services of the University 
",Structured,False,False,False,True,0,"https://www.sciencedirect.com/science/article/pii/S2352340923004766
",classification,False,True,"1.Performance
2.Behavioral Engagement
3.Social Engagamenet
",False,True,True,True,False,False,True,False,False,False,,
30,SD24,2022-2023,2023,"information about undergraduate students’ attitudes toward e-learning in Indonesia during the COVID-19
",342,"Demographic information
internet usage",26,https://data.mendeley.com/datasets/p4k894t6xc/1,Public,"Social Sciences,
Education
",Questionnaire,Structured,False,False,False,False,1,"https://www.sciencedirect.com/science/article/pii/S2352340923004894
",,False,True,,True,False,False,True,False,False,True,False,False,False,,
129,"Kaggle
Dataset",,2023,Factors that affect students performance,395 students,"1) Demographic data
2) Study time
3) Failures",33,,Public,Education,,structured,False,False,False,False,11,"https://www.sciencedirect.com/science/article/pii/S1877050922022529
","Classification,
Clustering",False,True,"Begavioral engagement,
performance",False,False,False,False,False,False,False,False,False,False,,
159,"The 7WiseUp
 behavior dataset",,2023,Student Cheating Detection,110 students,"Logs, grades",440,"http://7wiseup.com/research/e-cheating/data/
",Public,Education,"Questionnaire, sensor

",Semi-structured,False,False,True,False,9,"https://www.mdpi.com/1424-8220/23/8/4149
",Classification,False,True,Performance,False,False,False,False,False,False,True,False,False,False,,
135,"Kaggle 
Educational dataset.",,2023,Forecasting students’ adaptability in online entrepreneurship education,,"Demographic data,
Network data",,"https://www.kaggle.com/datasets/mdmahmudulhasansuzan/students-adaptabilitylevel-in-online-education
","Available 
on request",Education,LMS logs,structured,False,False,True,False,15,"https://www.sciencedirect.com/science/article/pii/S2590005623000280
",Classification,False,False,,False,False,False,False,False,False,False,False,False,False,,
128,,,2023,Personas-based Student Grouping,"10,000 students","Behavioral data,
Performance data",,,"Available 
on request",Education,MOOC logs,structured,False,False,False,False,0,https://www.sciencedirect.com/science/article/abs/pii/S0950705123008213,,False,False,"Begavioral engagement,
performance",False,False,False,False,False,False,False,False,False,False,,
134,,,2023,"predict anxiety level in university
students",284 students,,7,"
","Available 
on request",Education,Questionnaire,Structured,False,True,False,False,3,"https://www.sciencedirect.com/science/article/pii/S2352914823001867
",Classification,False,True,,False,False,False,False,False,False,False,False,False,False,,
4, E-learningDJUST,2019-2021,2023,"Impact of COVID-19
Student academic progress","9,246 students","1.logs, number of views of activities /resources, nb of submissions 
2.grades
3.nb of discussions views, nb of sent messages 
4.demographic data 
",,,Private,Education,Questionnaire,Structured,False,False,False,True,4,"https://pubmed.ncbi.nlm.nih.gov/34803236/
","clustering,
Regression, 
",False,True,"1.Performance
2.Behavioral engagement
3.Social engagement",False,False,False,False,False,False,True,False,False,False,,
40,"ESIEE-IT 
dataset",2021-2022,2023,Academic Performance and engagement,128,"1.Grades, Ranks
2.Interactions, time spent on the platform, nb of access, 
3.Nb of attempts",34,,Private,Education,LMS logs  - BlackBoard,Structured,True,False,False,True,1,"https://ieeexplore.ieee.org/document/10101952
",Classification,True,True,"1.Performance
2.Behavioral Engagement
3. Perseverance Score",True,True,False,True,False,False,True,False,True,False,,
